Name,Assists,Goals,Yellow Cards,Red Cards,Matches Played,Nationality,Age,2015,2016,2017,2018,2019
Alexander Tettey,1,0,4,0,33,Norway,32,3150000,2700000,180000,1800000,1800000
Ben Godfrey,2,4,3,0,49,England,21,90000,90000,90000,1350000,3150000
Christoph Zimmermann,2,3,11,0,50,Germany,26,158000,158000,225000,675000,1350000
Dennis Srbeny,1,5,0,0,37,Germany,24,68000,116000,360000,1350000,1350000
Emiliano Buendía,15,8,5,1,40,Argentina,22,450000,450000,450000,2250000,2250000
Felix Passlack,0,0,0,0,11,Germany,20,450000,2700000,2250000,2250000,1350000
Grant Hanley,0,2,0,1,32,Scotland,27,2250000,2250000,4050000,3600000,3150000
Ivo Pinto,0,0,0,0,8,Portugal,29,3600000,3600000,360000,3150000,2700000
Jamal Lewis,3,0,5,0,44,Northern Ireland,21,0,0,225000,900000,3600000
Jordan Rhodes,1,11,1,0,48,Scotland,29,9000000,9000000,7200000,5400000,4500000
Kenny McLean,6,4,1,0,23,Scotland,27,585000,540000,540000,585000,585000
Louis Thompson,0,1,0,0,15,Wales,24,450000,450000,225000,225000,225000
Mario Vrancic,7,9,5,0,40,Bosnia-Herzegovina,29,1800000,900000,1130000,1350000,1800000
Onel Hernández,8,11,3,0,44,Cuba,26,90000,135000,720000,1800000,2700000
Teemu Pukki,9,35,2,0,47,Finland,28,1800000,1580000,1800000,2250000,3600000
